date,Chuncheon,Cheorwon,Goseong
2025-07-01,29.62,28.2,30.77
2025-07-02,31.33,29.51,30.61
2025-07-03,29.53,29.21,26.28
2025-07-04,30.05,28.44,29.84
2025-07-05,31.92,29.15,31.39
2025-07-06,33.88,30.54,28.07
2025-07-07,32.1,28.81,27.9
2025-07-08,30.87,31.66,28.93
2025-07-09,31.43,29.5,28.09
2025-07-10,32.45,28.71,27.1
2025-07-11,29.54,30.2,27.67
2025-07-12,30.19,29.26,28.03
2025-07-13,30.22,28.33,27.97
2025-07-14,30.85,29.72,29.93
2025-07-15,30.29,28.91,28.89
2025-07-16,29.48,32.34,31.4
2025-07-17,31.62,30.4,29.27
2025-07-18,31.96,29.06,25.44
2025-07-19,30.4,30.88,28.33
2025-07-20,30.23,29.25,27.59
2025-07-21,33.04,29.41,30.67
2025-07-22,29.36,30.3,27.38
2025-07-23,31.13,30.5,28.71
2025-07-24,31.7,27.72,28.15
2025-07-25,31.62,31.12,32.95
2025-07-26,32.14,28.93,30.72
2025-07-27,31.98,30.71,29.53
2025-07-28,30.96,29.12,28.57
2025-07-29,32.81,30.51,30.11
2025-07-30,30.81,28.02,27.9
2025-07-31,29.97,28.42,29.95
2025-08-01,30.07,28.01,28.15
2025-08-02,30.95,27.76,30.1
2025-08-03,29.96,29.86,28.86
2025-08-04,31.32,28.32,28.57
2025-08-05,31.83,28.37,31.29
2025-08-06,30.58,30.11,30.81
2025-08-07,29.29,29.98,29.26
2025-08-08,31.54,25.89,28.28
2025-08-09,32.3,30.41,29.93
2025-08-10,32.02,28.58,29.65
2025-08-11,30.05,28.56,30.14
2025-08-12,33.9,30.1,29.84
2025-08-13,29.44,28.39,28.67
2025-08-14,29.83,31.52,27.29
2025-08-15,33.13,29.71,25.42
2025-08-16,31.8,27.32,29.71
2025-08-17,32.94,28.12,27.78
2025-08-18,31.27,27.87,31.18
2025-08-19,31.71,31.01,28.58
2025-08-20,32.08,30.72,28.54
2025-08-21,30.26,28.18,30.76
2025-08-22,31.19,30.3,29.73
2025-08-23,29.84,28.4,31.54
2025-08-24,31.78,28.11,29.87
2025-08-25,32.44,26.93,28.32
2025-08-26,28.8,30.17,28.65
2025-08-27,30.7,29.01,28.74
2025-08-28,31.27,30.47,29.18
2025-08-29,28.82,30.04,28.4
2025-08-30,32.66,29.69,27.27
2025-08-31,31.41,29.35,27.14
